date,steps,distance,runDistance,calories
2021-01-01,1233,769,201,32
2021-01-02,1773,1117,235,43
2021-01-03,763,476,64,17
2021-01-04,1510,942,175,34
2021-01-05,1004,626,134,25
2021-01-06,1562,974,190,34
2021-01-07,1081,674,154,25
2021-01-08,1481,924,172,31
2021-01-09,1648,1028,177,34
2021-01-10,905,564,123,21
2021-01-11,1056,659,82,24
2021-01-12,1296,808,100,26
2021-01-13,1385,869,175,32
2021-01-14,1424,888,133,31
2021-01-15,1137,709,172,26
2021-01-16,2046,1276,222,45
2021-01-17,2050,1324,339,43
2021-01-18,1517,946,142,30
2021-01-19,1541,961,103,33
2021-01-20,1131,705,93,27
2021-01-21,4539,3060,225,96
2021-01-22,2306,1469,155,48
2021-01-23,1404,876,216,34
2021-01-24,1745,1129,339,39
2021-01-25,1608,1024,149,38
2021-01-26,2048,1277,209,41
2021-01-27,1910,1191,231,44
2021-01-28,4974,3254,291,103
2021-01-29,4327,2932,266,96
2021-01-30,1393,869,175,32
2021-01-31,1869,1166,183,42
2021-02-01,1318,822,183,27
2021-02-02,2755,1742,208,55
2021-02-03,1630,1017,96,33
2021-02-04,3997,2651,117,82
2021-02-05,3637,2386,146,72
2021-02-06,3896,2652,188,82
2021-02-07,1556,970,178,36
2021-02-08,4671,3156,356,101
2021-02-09,882,550,116,20
2021-02-10,1162,725,157,26
2021-02-11,1266,800,105,26
2021-02-12,1008,629,82,26
2021-02-13,2331,1459,150,48
2021-02-14,1351,843,166,31
2021-02-15,1547,965,244,37
2021-02-16,1273,794,107,27
2021-02-17,1297,809,171,31
2021-02-18,1464,913,137,30
2021-02-19,1390,867,89,31
2021-02-20,6028,4047,258,133
2021-02-21,708,442,94,19
2021-02-22,959,598,83,21
2021-02-23,950,593,128,22
2021-02-24,1036,646,173,22
2021-02-25,4159,2873,142,93
2021-02-26,3991,2725,271,91
2021-02-27,3989,2649,177,83
2021-02-28,1757,1108,148,39
2021-03-01,4015,2769,139,92
2021-03-02,3771,2612,124,81
2021-03-03,3911,2695,238,83
2021-03-04,4609,3159,192,105
2021-03-05,3123,1953,351,69
2021-03-06,7100,4467,578,136
2021-03-07,2260,1410,325,58
2021-03-08,4177,2611,298,89
2021-03-09,2822,1760,277,67
2021-03-10,2027,1264,179,44
2021-03-11,2009,1256,243,45
2021-03-12,1283,800,126,27
2021-03-13,1870,1166,239,44
2021-03-14,5466,3475,267,111
2021-03-15,2729,1747,393,59
2021-03-16,1386,864,77,29
2021-03-17,4229,2814,181,96
2021-03-18,4165,2751,249,91
2021-03-19,2878,1795,299,62
2021-03-20,4047,2749,241,89
2021-03-21,1058,661,98,24
2021-03-22,1317,821,55,27
2021-03-23,794,495,64,17
2021-03-24,1988,1240,179,42
2021-03-25,2833,1877,142,63
2021-03-26,1406,877,95,31
2021-03-27,3755,2532,108,79
2021-03-28,1843,1151,136,37
2021-03-29,1730,1079,164,38
2021-03-30,3352,2234,150,70
2021-03-31,3173,2047,207,73
2021-04-01,1891,1207,223,43
2021-04-02,2284,1439,232,49
2021-04-03,1807,1135,184,38
2021-04-04,1725,1076,144,40
2021-04-05,1590,992,71,32
2021-04-06,1349,866,73,28
2021-04-07,1622,1012,243,39
2021-04-08,1369,854,98,26
2021-04-09,4600,2869,372,105
2021-04-10,7048,4433,439,137
2021-04-11,1724,1075,138,35
2021-04-12,1177,734,98,24
2021-04-13,1502,937,133,32
2021-04-14,2671,1666,328,58
2021-04-15,2069,1291,126,41
2021-04-16,2569,1606,179,54
2021-04-17,835,521,100,20
2021-04-18,1040,649,108,21
2021-04-19,1410,879,185,31
2021-04-20,1568,983,143,33
2021-04-21,2316,1448,208,48
2021-04-22,1224,763,170,29
2021-04-23,1608,1014,178,34
2021-04-24,1332,863,277,30
2021-04-25,1256,783,163,27
2021-04-26,1612,1014,178,37
2021-04-27,2067,1289,250,43
2021-04-28,1419,885,135,29
2021-04-29,1539,963,135,33
2021-04-30,2423,1512,172,47
2021-05-01,1150,717,115,24
2021-05-02,2158,1346,222,48
2021-05-03,1994,1248,206,39
2021-05-04,1805,1126,192,38
2021-05-05,1361,849,123,30
2021-05-06,1805,1137,226,37
2021-05-07,1111,693,187,25
2021-05-08,1146,715,92,27
2021-05-09,350,218,22,8
2021-05-10,1282,800,83,27
2021-05-11,2220,1385,204,49
2021-05-12,2090,1311,220,46
2021-05-13,1944,1225,145,41
2021-05-14,1330,830,127,27
2021-05-15,1166,727,136,27
2021-05-16,879,548,88,19
2021-05-17,1784,1113,182,39
2021-05-18,1280,815,194,29
2021-05-19,1537,959,181,31
2021-05-20,1520,954,163,33
2021-05-21,1320,832,153,28
2021-05-22,396,247,55,9
2021-05-23,658,410,83,14
2021-05-24,1406,877,207,35
2021-05-25,1593,999,215,38
2021-05-26,1886,1206,147,42
2021-05-27,1697,1065,225,41
2021-05-28,1576,995,172,34
2021-05-29,1307,815,123,28
2021-05-30,1469,916,167,36
2021-05-31,1630,1039,110,37
2021-06-01,1110,698,138,25
2021-06-02,1320,842,140,29
2021-06-03,1286,802,146,27
2021-06-04,1560,996,230,36
2021-06-05,1446,902,177,37
2021-06-06,2048,1327,392,48
2021-06-07,1973,1233,108,38
2021-06-08,1734,1092,298,40
2021-06-09,1581,986,168,35
2021-06-10,1891,1185,222,46
2021-06-11,2937,1855,196,64
2021-06-12,1502,937,147,33
2021-06-13,1124,701,84,24
2021-06-14,1010,630,111,25
2021-06-15,1129,704,146,25
2021-06-16,811,506,117,16
2021-06-17,1041,649,129,23
2021-06-18,921,574,71,20
2021-06-19,1273,821,224,34
2021-06-20,1251,780,152,27
2021-06-21,1157,722,145,26
2021-06-22,1467,915,178,32
2021-06-23,1569,979,145,33
2021-06-24,2362,1473,215,54
2021-06-25,1091,680,140,24
2021-06-26,1398,872,125,30
2021-06-27,970,605,101,18
2021-06-28,13981,9966,3470,331
2021-06-29,1523,969,212,36
2021-06-30,2109,1332,196,44
2021-07-01,1337,834,113,29
2021-07-02,2381,1520,372,53
2021-07-03,857,535,39,18
2021-07-04,1239,773,109,30
2021-07-05,1952,1229,239,45
2021-07-06,2969,1905,291,66
2021-07-07,3072,1937,278,67
2021-07-08,2575,1615,171,52
2021-07-09,2936,1852,201,66
2021-07-10,1466,914,117,32
2021-07-11,3807,2390,220,79
2021-07-12,2197,1404,328,52
2021-07-13,1967,1235,215,43
2021-07-14,2065,1306,258,44
2021-07-15,2158,1346,238,44
2021-07-16,2553,1645,328,56
2021-07-17,1193,744,109,28
2021-07-18,1160,723,92,31
2021-07-19,2017,1267,136,44
2021-07-20,1871,1210,230,40
2021-07-21,1307,834,99,30
2021-07-22,1871,1172,160,43
2021-07-23,1138,710,127,31
2021-07-24,1417,884,119,31
2021-07-25,1957,1221,199,45
2021-07-26,2259,1411,227,49
2021-07-27,2000,1247,156,38
2021-07-28,2504,1562,182,48
2021-07-29,3225,2015,225,65
2021-07-30,2968,1907,323,70
2021-07-31,2090,1312,158,45
2021-08-01,2789,1739,175,57
2021-08-02,2668,1686,257,58
2021-08-03,2933,1829,171,59
2021-08-04,3004,1874,216,65
2021-08-05,3195,1993,226,63
2021-08-06,2656,1665,238,58
2021-08-07,3309,2127,189,71
2021-08-08,2565,1600,328,57
2021-08-09,5108,3356,251,110
2021-08-10,2624,1637,210,58
2021-08-11,2925,1824,252,59
2021-08-12,3605,2262,233,71
2021-08-13,960,599,65,22
2021-08-14,1806,1126,155,40
2021-08-15,2127,1327,264,49
2021-08-16,4490,3055,292,102
2021-08-17,2804,1756,289,58
2021-08-18,8058,6012,158,198
2021-08-19,1625,1014,147,33
2021-08-20,2528,1584,202,54
2021-08-21,5785,3853,270,128
2021-08-22,6992,5911,194,325
2021-08-23,5661,3860,252,131
2021-08-24,5559,3789,323,126
2021-08-25,4005,2690,216,89
2021-08-26,5199,3484,192,112
2021-08-27,5606,3917,237,128
2021-08-28,5301,3674,184,122
2021-08-29,2129,1328,196,51
2021-08-30,2068,1290,100,43
2021-08-31,2484,1549,166,55
2021-09-01,2243,1399,115,48
2021-09-02,1318,822,151,34
2021-09-03,2696,1695,200,56
2021-09-04,1471,917,129,32
2021-09-05,9334,6572,128,218
2021-09-06,2061,1290,264,51
2021-09-07,3910,2509,413,85
2021-09-08,8164,5916,187,190
2021-09-09,2433,1550,226,52
2021-09-10,3899,2474,473,81
2021-09-11,1241,774,93,28
2021-09-12,2900,1809,276,64
2021-09-13,1282,800,100,28
2021-09-14,2420,1532,251,55
2021-09-15,2596,1619,219,53
2021-09-16,3370,2168,446,73
2021-09-17,4777,3028,448,102
2021-09-18,813,534,138,19
2021-09-19,1103,701,142,26
2021-09-20,2915,1827,304,64
2021-09-21,2021,1308,359,49
2021-09-22,2912,1836,298,64
2021-09-23,3111,1982,343,71
2021-09-24,1874,1207,277,45
2021-09-25,1817,1165,269,45
2021-09-26,1732,1085,192,40
2021-09-27,5566,3762,251,123
2021-09-28,1955,1219,205,46
2021-09-29,5268,3565,249,118
2021-09-30,1746,1089,233,41
2021-10-01,3998,2624,173,89
2021-10-02,1166,761,216,32
