date,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2021-01-01,9,385,0,2020-12-31 20:01:00+0000,2021-01-01 02:35:00+0000
2021-01-02,41,382,0,2021-01-01 19:36:00+0000,2021-01-02 02:39:00+0000
2021-01-03,115,337,0,2021-01-02 20:21:00+0000,2021-01-03 03:53:00+0000
2021-01-04,71,327,0,2021-01-03 20:02:00+0000,2021-01-04 02:40:00+0000
2021-01-05,61,380,0,2021-01-04 19:19:00+0000,2021-01-05 02:40:00+0000
2021-01-06,46,350,0,2021-01-05 19:58:00+0000,2021-01-06 02:34:00+0000
2021-01-07,106,324,0,2021-01-06 19:36:00+0000,2021-01-07 02:46:00+0000
2021-01-08,116,292,0,2021-01-07 19:49:00+0000,2021-01-08 02:37:00+0000
2021-01-09,45,404,0,2021-01-08 19:18:00+0000,2021-01-09 02:47:00+0000
2021-01-10,37,426,0,2021-01-09 20:15:00+0000,2021-01-10 03:58:00+0000
2021-01-11,57,356,0,2021-01-10 19:44:00+0000,2021-01-11 02:37:00+0000
2021-01-12,82,372,0,2021-01-11 19:09:00+0000,2021-01-12 02:43:00+0000
2021-01-13,96,338,0,2021-01-12 19:16:00+0000,2021-01-13 02:30:00+0000
2021-01-14,36,376,0,2021-01-13 19:43:00+0000,2021-01-14 02:35:00+0000
2021-01-15,48,388,0,2021-01-14 19:36:00+0000,2021-01-15 02:52:00+0000
2021-01-16,62,373,0,2021-01-15 19:28:00+0000,2021-01-16 02:43:00+0000
2021-01-17,52,376,0,2021-01-16 20:20:00+0000,2021-01-17 03:28:00+0000
2021-01-18,57,367,0,2021-01-17 19:30:00+0000,2021-01-18 02:34:00+0000
2021-01-19,113,314,0,2021-01-18 19:28:00+0000,2021-01-19 02:35:00+0000
2021-01-20,78,330,0,2021-01-19 19:57:00+0000,2021-01-20 02:45:00+0000
2021-01-21,79,321,0,2021-01-20 19:56:00+0000,2021-01-21 02:36:00+0000
2021-01-22,57,372,0,2021-01-21 19:34:00+0000,2021-01-22 02:43:00+0000
2021-01-23,100,306,0,2021-01-22 19:50:00+0000,2021-01-23 02:36:00+0000
2021-01-24,48,429,0,2021-01-23 19:52:00+0000,2021-01-24 03:49:00+0000
2021-01-25,53,322,0,2021-01-24 20:22:00+0000,2021-01-25 02:37:00+0000
2021-01-26,0,0,0,2021-01-24 18:30:00+0000,2021-01-24 18:30:00+0000
2021-01-27,75,342,0,2021-01-26 19:30:00+0000,2021-01-27 02:27:00+0000
2021-01-28,78,288,0,2021-01-27 20:28:00+0000,2021-01-28 02:34:00+0000
2021-01-29,45,394,0,2021-01-28 19:15:00+0000,2021-01-29 02:34:00+0000
2021-01-30,55,289,0,2021-01-29 20:31:00+0000,2021-01-30 02:15:00+0000
2021-01-31,38,362,0,2021-01-30 20:35:00+0000,2021-01-31 03:15:00+0000
2021-02-01,62,232,0,2021-01-31 21:44:00+0000,2021-02-01 02:38:00+0000
2021-02-02,34,386,0,2021-02-01 19:41:00+0000,2021-02-02 02:41:00+0000
2021-02-03,62,340,0,2021-02-02 19:56:00+0000,2021-02-03 02:38:00+0000
2021-02-04,62,274,0,2021-02-03 19:31:00+0000,2021-02-04 01:07:00+0000
2021-02-05,31,304,0,2021-02-04 19:20:00+0000,2021-02-05 00:55:00+0000
2021-02-06,82,75,0,2021-02-05 16:14:00+0000,2021-02-05 18:51:00+0000
2021-02-07,62,359,0,2021-02-06 20:08:00+0000,2021-02-07 03:09:00+0000
2021-02-08,78,251,0,2021-02-07 19:41:00+0000,2021-02-08 01:10:00+0000
2021-02-09,74,335,0,2021-02-08 20:09:00+0000,2021-02-09 02:58:00+0000
2021-02-10,132,275,0,2021-02-09 19:55:00+0000,2021-02-10 02:42:00+0000
2021-02-11,134,272,0,2021-02-10 19:59:00+0000,2021-02-11 02:45:00+0000
