type,startTime,sportTime,distance,maxPace,minPace,avgPace,calories
16,2021-12-17 10:42:34+0000,895,0.0,1.8000001,0.0,0.0,62.0
16,2021-12-02 12:50:25+0000,1620,0.0,1.8000001,0.0,0.0,126.0
9,2021-12-01 01:38:42+0000,1012,3.448276,0.14786337,2673.0,0.3785935,189.0
16,2021-11-27 12:59:27+0000,1544,0.0,1.8000001,0.0,0.0,106.0
9,2021-11-26 01:37:59+0000,1927,0.91240877,0.12350253,5280.0,0.36491805,371.0
16,2021-11-23 13:20:51+0000,3977,0.0,1.8000001,0.0,0.0,252.0
9,2021-11-22 01:38:04+0000,1771,0.7751938,0.14688602,5879.0,0.30120507,325.0
9,2021-11-20 01:23:18+0000,1778,1.8903593,0.14551803,5977.0,0.29745692,337.0
9,2021-11-19 01:34:57+0000,1970,1.6129032,0.1463486,5652.0,0.34854335,170.0
9,2021-11-18 01:31:34+0000,1888,1.0277492,0.14845605,5986.0,0.31519964,206.0
9,2021-11-17 01:44:26+0000,1464,1.7699115,0.14632718,4789.0,0.30569506,159.0
9,2021-11-16 01:37:07+0000,1759,0.9487666,0.17316017,4880.0,0.3603825,363.0
9,2021-11-15 01:34:35+0000,1864,4.6296296,0.15320975,4997.0,0.37276232,227.0
9,2021-11-13 01:35:34+0000,1464,1.9379846,0.116482235,4132.0,0.35424566,156.0
9,2021-11-12 01:48:14+0000,1787,0.82236844,0.13574046,4637.0,0.38515028,185.0
9,2021-11-10 06:42:34+0000,987,0.62305295,0.16880487,2385.0,0.41374153,84.0
6,2021-11-07 02:42:26+0000,4559,6.876,0.492,2205.0,2.066,243.0
14,2021-11-06 12:15:02+0000,3811,2.5,1.8000001,425.0,4.8,95.0
16,2021-11-04 13:38:47+0000,1831,0.0,1.8000001,0.0,0.0,126.0
16,2021-11-02 13:54:52+0000,1834,0.0,1.8000001,0.0,0.0,116.0
16,2021-11-01 13:41:48+0000,1789,0.0,1.8000001,0.0,0.0,124.0
16,2021-10-29 13:30:00+0000,1429,0.0,1.8000001,0.0,0.0,78.0
16,2021-10-28 13:45:34+0000,1738,0.0,1.8000001,0.0,0.0,157.0
16,2021-10-27 13:34:30+0000,1589,0.0,1.8000001,0.0,0.0,125.0
16,2021-10-26 13:43:46+0000,1820,0.0,1.8000001,0.0,0.0,157.0
16,2021-10-25 13:50:56+0000,1127,0.0,1.8000001,0.0,0.0,77.0
16,2021-10-19 13:19:04+0000,1789,0.0,1.8000001,0.0,0.0,119.0
16,2021-10-18 13:59:00+0000,1679,0.0,1.8000001,0.0,0.0,73.0
16,2021-10-17 13:41:45+0000,3005,0.0,1.8000001,0.0,0.0,216.0
16,2021-09-24 13:26:08+0000,1915,0.0,1.8000001,0.0,0.0,78.0
16,2021-09-23 13:16:53+0000,2010,0.0,1.8000001,0.0,0.0,128.0
16,2021-09-22 13:03:40+0000,1869,0.0,1.8000001,0.0,0.0,89.0
16,2021-09-21 13:29:27+0000,2415,0.0,1.8000001,0.0,0.0,194.0
16,2021-09-20 13:11:39+0000,2145,0.0,1.8000001,0.0,0.0,124.0
16,2021-09-17 13:02:04+0000,1950,0.0,1.8000001,0.0,0.0,180.0
16,2021-09-16 13:16:23+0000,1782,0.0,1.8000001,0.0,0.0,140.0
16,2021-09-15 13:01:20+0000,1796,0.0,1.8000001,0.0,0.0,120.0
16,2021-09-14 13:07:43+0000,1849,0.0,1.8000001,0.0,0.0,103.0
16,2021-09-10 13:10:37+0000,2236,0.0,1.8000001,0.0,0.0,137.0
16,2021-09-09 13:12:33+0000,1991,0.0,1.8000001,0.0,0.0,111.0
16,2021-09-08 13:13:56+0000,1848,0.0,1.8000001,0.0,0.0,82.0
16,2021-09-07 13:13:38+0000,1990,0.0,1.8000001,0.0,0.0,140.0
16,2021-09-06 13:34:34+0000,2989,0.0,1.8000001,0.0,0.0,230.0
16,2021-09-03 13:15:41+0000,1804,0.0,1.8000001,0.0,0.0,119.0
16,2021-09-01 13:12:07+0000,1923,0.0,1.8000001,0.0,0.0,112.0
16,2021-08-31 13:34:46+0000,1620,0.0,1.8000001,0.0,0.0,97.0
16,2021-08-30 13:19:04+0000,1708,0.0,1.8000001,0.0,0.0,110.0
16,2021-08-19 13:37:56+0000,1699,0.0,1.8000001,0.0,0.0,146.0
16,2021-08-18 13:41:05+0000,1750,0.0,1.8000001,0.0,0.0,153.0
16,2021-08-13 13:33:39+0000,2122,0.0,1.8000001,0.0,0.0,166.0
16,2021-08-12 13:29:02+0000,1839,0.0,1.8000001,0.0,0.0,99.0
16,2021-08-11 13:22:29+0000,1830,0.0,1.8000001,0.0,0.0,150.0
16,2021-08-10 13:12:50+0000,1803,0.0,1.8000001,0.0,0.0,122.0
16,2021-08-09 13:36:14+0000,2116,0.0,1.8000001,0.0,0.0,190.0
16,2021-08-06 13:41:25+0000,2029,0.0,1.8000001,0.0,0.0,141.0
16,2021-08-05 13:34:16+0000,1886,0.0,1.8000001,0.0,0.0,141.0
16,2021-08-04 13:43:43+0000,2399,0.0,1.8000001,0.0,0.0,190.0
16,2021-08-03 13:31:30+0000,2556,0.0,1.8000001,0.0,0.0,221.0
16,2021-08-02 13:49:56+0000,1939,0.0,1.8000001,0.0,0.0,162.0
16,2021-07-30 12:59:48+0000,2232,0.0,1.8000001,0.0,0.0,141.0
16,2021-07-29 13:43:41+0000,2178,0.0,1.8000001,0.0,0.0,201.0
16,2021-07-28 13:27:10+0000,1916,0.0,1.8000001,0.0,0.0,110.0
16,2021-07-27 13:34:21+0000,7896,0.0,1.8000001,0.0,0.0,509.0
16,2021-07-26 14:00:34+0000,3168,0.0,1.8000001,0.0,0.0,210.0
16,2021-07-22 13:44:51+0000,1807,0.0,1.8000001,0.0,0.0,102.0
16,2021-07-21 13:29:55+0000,2032,0.0,1.8000001,0.0,0.0,132.0
16,2021-07-20 13:45:49+0000,2161,0.0,1.8000001,0.0,0.0,139.0
16,2021-07-19 13:42:49+0000,1796,0.0,1.8000001,0.0,0.0,150.0
16,2021-07-16 13:32:44+0000,1528,0.0,1.8000001,0.0,0.0,124.0
16,2021-07-15 13:29:06+0000,1658,0.0,1.8000001,0.0,0.0,106.0
16,2021-07-14 13:47:33+0000,1804,0.0,1.8000001,0.0,0.0,100.0
16,2021-07-12 13:40:19+0000,1677,0.0,1.8000001,0.0,0.0,132.0
6,2021-07-08 14:18:27+0000,954,4.793,0.637,596.0,1.598,32.0
16,2021-07-08 13:43:31+0000,1718,0.0,1.8000001,0.0,0.0,150.0
6,2021-07-07 14:04:39+0000,716,4.793,0.578,606.0,1.18,61.0
6,2021-07-06 14:00:40+0000,853,9.204,1.105,476.0,1.79,58.0
16,2021-07-06 13:28:49+0000,1807,0.0,1.8000001,0.0,0.0,120.0
16,2021-07-05 13:33:04+0000,1939,0.0,1.8000001,0.0,0.0,121.0
6,2021-07-05 05:23:44+0000,248,8.657,1.007,107.0,2.312,12.0
16,2021-07-02 13:27:54+0000,1491,0.0,1.8000001,0.0,0.0,66.0
16,2021-07-01 13:38:13+0000,1321,0.0,1.8000001,0.0,0.0,90.0
16,2021-06-30 13:40:06+0000,1268,0.0,1.8000001,0.0,0.0,58.0
16,2021-06-29 13:30:16+0000,1383,0.0,1.8000001,0.0,0.0,84.0
16,2021-06-28 13:39:09+0000,1053,0.0,1.8000001,0.0,0.0,60.0
16,2021-06-04 13:42:48+0000,1902,0.0,1.8000001,0.0,0.0,137.0
16,2021-06-02 13:38:57+0000,1512,0.0,1.8000001,0.0,0.0,107.0
16,2021-06-02 13:35:43+0000,113,0.0,1.8000001,0.0,0.0,1.0
16,2021-06-01 13:35:06+0000,1473,0.0,1.8000001,0.0,0.0,94.0
16,2021-05-31 13:29:48+0000,1445,0.0,1.8000001,0.0,0.0,84.0
16,2021-05-31 07:25:02+0000,1519,0.0,1.8000001,0.0,0.0,80.0
16,2021-05-28 13:37:10+0000,1460,0.0,1.8000001,0.0,0.0,112.0
16,2021-05-27 13:36:18+0000,1304,0.0,1.8000001,0.0,0.0,90.0
16,2021-05-26 13:36:22+0000,1289,0.0,1.8000001,0.0,0.0,77.0
16,2021-05-25 12:53:35+0000,1566,0.0,1.8000001,0.0,0.0,138.0
16,2021-05-24 13:46:31+0000,1615,0.0,1.8000001,0.0,0.0,128.0
16,2021-05-21 13:15:59+0000,1516,0.0,1.8000001,0.0,0.0,118.0
16,2021-05-20 13:46:01+0000,1506,0.0,1.8000001,0.0,0.0,138.0
16,2021-05-19 13:26:19+0000,1710,0.0,1.8000001,0.0,0.0,127.0
16,2021-05-18 13:42:10+0000,1541,0.0,1.8000001,0.0,0.0,79.0
16,2021-05-17 13:45:26+0000,1604,0.0,1.8000001,0.0,0.0,67.0
16,2021-05-14 06:20:25+0000,1410,0.0,1.8000001,0.0,0.0,96.0
16,2021-05-08 13:50:43+0000,947,0.0,1.8000001,0.0,0.0,73.0
16,2021-05-06 13:03:01+0000,1785,0.0,1.8000001,0.0,0.0,107.0
16,2021-05-03 12:35:11+0000,1803,0.0,1.8000001,0.0,0.0,177.0
16,2021-04-30 13:31:00+0000,1927,0.0,1.8000001,0.0,0.0,93.0
16,2021-04-30 08:07:19+0000,373,0.0,1.8000001,0.0,0.0,20.0
16,2021-04-29 12:25:00+0000,1558,0.0,1.8000001,0.0,0.0,150.0
16,2021-04-28 13:37:29+0000,1660,0.0,1.8000001,0.0,0.0,124.0
16,2021-04-27 13:30:05+0000,1406,0.0,1.8000001,0.0,0.0,64.0
16,2021-04-26 13:02:23+0000,1348,0.0,1.8000001,0.0,0.0,76.0
16,2021-04-23 05:50:54+0000,1318,0.0,1.8000001,0.0,0.0,67.0
16,2021-04-22 12:59:14+0000,1345,0.0,1.8000001,0.0,0.0,104.0
16,2021-04-21 05:53:40+0000,1312,0.0,1.8000001,0.0,0.0,80.0
16,2021-04-20 05:09:11+0000,2702,0.0,1.8000001,0.0,0.0,211.0
16,2021-04-19 05:19:27+0000,1839,0.0,1.8000001,0.0,0.0,145.0
16,2021-04-13 05:30:58+0000,1196,0.0,1.8000001,0.0,0.0,79.0
16,2021-04-12 13:52:22+0000,1021,0.0,1.8000001,0.0,0.0,55.0
